년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상
2021,부산,입원(연인원), C34 ,2173.0,52.0,145.0,107.0,1318,543.0,8.0
2021,부산,입원(연인원), C22 ,2112.0,62.0,7.0,0.0,1677,366.0,0.0
2021,부산,입원(연인원), S32 ,2040.0,102.0,13.0,35.0,963,727.0,200.0
2021,부산,입원(연인원), G81 ,2028.0,60.0,0.0,182.0,1636,150.0,0.0
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0
2021,부산,외래,E11,25010.0,1058.0,1016.0,2026.0,18205,2381.0,324.0
2021,부산,외래,U07,22080.0,15801.0,1290.0,1489.0,3128,332.0,40.0
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0
2021,부산,외래,K05,12109.0,643.0,427.0,954.0,9146,838.0,101.0
2021,부산,외래,Z26,11370.0,6328.0,849.0,850.0,2987,294.0,62.0
2021,부산,외래,L29,10275.0,387.0,273.0,460.0,8055,933.0,167.0
2021,부산,외래,K02,9685.0,661.0,297.0,727.0,7370,569.0,61.0
2021,부산,외래,M54,9634.0,373.0,219.0,666.0,7716,646.0,14.0
2021,부산,외래,L30,9239.0,518.0,268.0,630.0,6786,903.0,134.0
2021,부산,외래,K08,8358.0,299.0,262.0,706.0,6401,571.0,119.0
2021,부산,외래,Z00,8154.0,5735.0,409.0,516.0,1348,128.0,18.0
2021,부산,외래,I63,7725.0,308.0,128.0,257.0,5977,847.0,208.0
2021,부산,외래,H25,7365.0,29.0,87.0,347.0,6052,736.0,114.0
2021,부산,외래,H04,6739.0,310.0,248.0,529.0,4962,540.0,150.0
2021,부산,외래,H35,6518.0,111.0,80.0,292.0,5362,543.0,130.0
2022,부산,입원(연인원), M48 ,12912.0,138.0,206.0,411.0,11414,646.0,97.0
2022,부산,입원(연인원), M51 ,5938.0,486.0,,567.0,4509,376.0,
2022,부산,입원(연인원), M17 ,5203.0,,223.0,541.0,4150,219.0,70.0
2022,부산,입원(연인원), I63 ,4759.0,348.0,32.0,12.0,3409,870.0,88.0
2022,부산,입원(연인원), U07 ,4730.0,724.0,306.0,356.0,2098,951.0,295.0
2022,부산,입원(연인원), J18 ,4618.0,104.0,85.0,129.0,2746,889.0,665.0
2022,부산,입원(연인원), M96 ,4452.0,174.0,17.0,81.0,3784,396.0,
2022,부산,입원(연인원), S46 ,3441.0,166.0,75.0,142.0,3029,29.0,
2022,부산,입원(연인원), I20 ,3032.0,29.0,24.0,122.0,2585,232.0,40.0
2022,부산,입원(연인원), G81 ,2902.0,67.0,48.0,89.0,2466,168.0,64.0
2022,부산,입원(연인원), E11 ,2497.0,,17.0,13.0,2365,102.0,
2022,부산,입원(연인원), C34 ,2329.0,56.0,40.0,139.0,1524,487.0,83.0
2022,부산,입원(연인원), M75 ,2324.0,38.0,54.0,60.0,2172,,
2022,부산,입원(연인원), I50 ,2270.0,8.0,,18.0,1320,615.0,309.0
2022,부산,입원(연인원), C16 ,2235.0,51.0,83.0,75.0,1644,266.0,116.0
2022,부산,입원(연인원), I69 ,2017.0,,4.0,90.0,1660,263.0,
2022,부산,입원(연인원), S32 ,1950.0,47.0,14.0,83.0,1385,302.0,119.0
2022,부산,입원(연인원), N18 ,1879.0,53.0,,3.0,1538,145.0,140.0
2022,부산,입원(연인원), S06 ,1777.0,353.0,104.0,,925,293.0,102.0
2022,부산,입원(연인원), M50 ,1519.0,121.0,,193.0,1093,112.0,
2022,부산,외래, N40 ,28597.0,316.0,465.0,1040.0,22644,3109.0,1023.0
2022,부산,외래, E11 ,22845.0,861.0,817.0,1480.0,17080,2258.0,349.0
2022,부산,외래, U07 ,22771.0,13578.0,2412.0,1666.0,3772,1150.0,193.0
2022,부산,외래, L30 ,18226.0,763.0,472.0,895.0,13841,1864.0,391.0
2022,부산,외래, M17 ,16286.0,490.0,598.0,1883.0,11565,1516.0,234.0
2022,부산,외래, I20 ,14956.0,214.0,318.0,772.0,11939,1419.0,294.0
2022,부산,외래, M48 ,14638.0,329.0,384.0,554.0,11520,1614.0,237.0
2022,부산,외래, I10 ,14087.0,615.0,536.0,957.0,10024,1581.0,374.0
2022,부산,외래, N18 ,12812.0,716.0,466.0,589.0,8872,1635.0,534.0
2022,부산,외래, K05 ,11608.0,607.0,383.0,833.0,8761,914.0,110.0
2022,부산,외래, Z11 ,11209.0,5888.0,582.0,899.0,3380,386.0,74.0
2022,부산,외래, M54 ,8089.0,541.0,209.0,316.0,6116,875.0,32.0
2022,부산,외래, K08 ,7767.0,214.0,159.0,510.0,6187,572.0,125.0
2022,부산,외래, K02 ,7266.0,532.0,189.0,537.0,5346,577.0,85.0
2022,부산,외래, I63 ,7054.0,175.0,212.0,170.0,5507,789.0,201.0
2022,부산,외래, K21 ,6533.0,323.0,208.0,445.0,4932,536.0,89.0
2022,부산,외래, N31 ,6417.0,285.0,147.0,284.0,4756,790.0,155.0
2022,부산,외래, M75 ,5689.0,380.0,219.0,538.0,4231,277.0,44.0
2022,부산,외래, R53 ,5331.0,282.0,131.0,349.0,3879,583.0,107.0
2022,부산,외래,H25,5228.0,12.0,56.0,184.0,4252,610.0,114.0
2023,부산,입원(연인원), M48 ,15276.0,280.0,350.0,511.0,12557,1449.0,129.0
2023,부산,입원(연인원), M51 ,8169.0,279.0,38.0,124.0,6732,996.0,
