상병코드,지역,연인원
 N18 ,대전,830.0
 C18 ,대전,572.0
 M43 ,대전,649.0
 I20 ,대전,138.0
 S32 ,대전,1702.0
 I63 ,대전,1352.0
 K59 ,대전,510.0
 K40 ,대전,317.0
 N40 ,대전,132.0
 I69 ,대전,3035.0
 J18 ,대전,2433.0
 I61 ,대전,2171.0
 J98 ,대전,1930.0
 M54 ,대전,1582.0
 S06 ,대전,1565.0
 G82 ,대전,1524.0
 S72 ,대전,1338.0
 R42 ,대전,1287.0
 N40 ,대전,26092.0
 E11 ,대전,20033.0
 I10 ,대전,15111.0
 U07 ,대전,14926.0
 M48 ,대전,14728.0
 K05 ,대전,13706.0
 M54 ,대전,12608.0
 K63 ,대전,9891.0
 K29 ,대전,9016.0
 I69 ,대전,8957.0
 E86 ,대전,8608.0
 M17 ,대전,7941.0
 Z26 ,대전,7365.0
 N18 ,대전,7234.0
 Z29 ,대전,6717.0
 F03 ,대전,6466.0
 L29 ,대전,5920.0
 M75 ,대전,5311.0
 R42 ,대전,4951.0
J44,대전,4729.0
  M48  ,대전,5709.0
  U07  ,대전,3585.0
  K63  ,대전,1444.0
  H25  ,대전,250.0
  E11  ,대전,3520.0
  M17  ,대전,5260.0
  M51  ,대전,1423.0
  M96  ,대전,1918.0
  M75  ,대전,2592.0
  N18  ,대전,1979.0
  I20  ,대전,246.0
  M43  ,대전,743.0
  K29  ,대전,694.0
  S32  ,대전,1091.0
  C18  ,대전,827.0
  C16  ,대전,1150.0
  N40  ,대전,135.0
  I63  ,대전,1482.0
  I83  ,대전,89.0
  R07  ,대전,117.0
  I69  ,대전,3089.0
  G82  ,대전,2434.0
  S06  ,대전,1939.0
  S72  ,대전,1874.0
  J18  ,대전,1485.0
  M54  ,대전,1233.0
  C34  ,대전,1147.0
  K80  ,대전,981.0
  N40  ,대전,26265.0
  E11  ,대전,19788.0
  M48  ,대전,14961.0
  I10  ,대전,14592.0
  K05  ,대전,13738.0
  M54  ,대전,11803.0
  U07  ,대전,10820.0
  K63  ,대전,9998.0
  E86  ,대전,9158.0
  Z29  ,대전,8828.0
  M17  ,대전,8772.0
  I69  ,대전,8529.0
  K29  ,대전,8335.0
  N18  ,대전,8090.0
  F03  ,대전,5843.0
  M75  ,대전,5518.0
  R42  ,대전,4965.0
  I20  ,대전,4786.0
  L29  ,대전,4698.0
 Z26 ,대전,4405.0
M48,대전,
K63,대전,
H25,대전,
M96,대전,
M17,대전,
E11,대전,
M51,대전,
M75,대전,
N18,대전,
M43,대전,
K29,대전,
J18,대전,
N40,대전,
C18,대전,
S22,대전,
M54,대전,
S72,대전,
K40,대전,
C34,대전,
K59,대전,
M48,대전,7033.0
M17,대전,6153.0
M96,대전,4562.0
M75,대전,3468.0
E11,대전,3426.0
I69,대전,2896.0
M54,대전,2682.0
G82,대전,2375.0
S72,대전,2193.0
N18,대전,2132.0
J18,대전,1762.0
M51,대전,1530.0
S06,대전,1515.0
K63,대전,1460.0
I63,대전,1381.0
C16,대전,1331.0
C34,대전,1331.0
S22,대전,1324.0
C25,대전,1205.0
J98,대전,1199.0
I10,대전,
K05,대전,
E86,대전,
I69,대전,
F03,대전,
Z29,대전,
R42,대전,
Z26,대전,
L29,대전,
J98,대전,
I20,대전,
M48,광주,10584.0
N40,광주,3351.0
H25,광주,559.0
I20,광주,1613.0
I63,광주,10589.0
M17,광주,4590.0
C61,광주,1816.0
R42,광주,1387.0
S32,광주,2120.0
C18,광주,2198.0
C16,광주,2979.0
J18,광주,3097.0
C34,광주,3094.0
M75,광주,3211.0
K80,광주,1867.0
E11,광주,1836.0
C22,광주,2399.0
M51,광주,2180.0
S72,광주,3858.0
A09,광주,732.0
Z49,광주,7559.0
J69,광주,4622.0
N18,광주,4330.0
L89,광주,3390.0
N40,광주,
M48,광주,
I10,광주,
E11,광주,
I20,광주,
E30,광주,
M17,광주,
Z26,광주,
K05,광주,
H25,광주,
K21,광주,
I63,광주,
M75,광주,
J44,광주,
Z49,광주,
F00,광주,
K02,광주,
B35,광주,
J30,광주,
J00,광주,
 N40 ,광주,3156.0
 M48 ,광주,8027.0
 U07 ,광주,2800.0
 I20 ,광주,1493.0
 I63 ,광주,9039.0
 C61 ,광주,3027.0
 M17 ,광주,3412.0
 C67 ,광주,1453.0
 C18 ,광주,2389.0
 C16 ,광주,3011.0
 K80 ,광주,1241.0
 C34 ,광주,2433.0
 C22 ,광주,1678.0
