상병코드,지역
M961,광주
M966,광주
M9973,광주
N019,광주
N049,광주
N059,광주
N083,광주
N088,광주
N10,광주
N12,광주
N132,광주
N1338,광주
N136,광주
N139,광주
N151,광주
N179,광주
N181,광주
N183,광주
N184,광주
N185,광주
N189,광주
N200,광주
N201,광주
N210,광주
N258,광주
N280,광주
N281,광주
N300,광주
N302,광주
N309,광주
N319,광주
N320,광주
N342,광주
N359,광주
N390,광주
N391,광주
N393,광주
N400,광주
N401,광주
N403,광주
N408,광주
N410,광주
N433,광주
N4500,광주
N4502,광주
N4590,광주
N481,광주
N499,광주
N62,광주
N719,광주
N739,광주
Q230,광주
Q273,광주
Q282,광주
Q613,광주
R001,광주
R002,광주
R02,광주
R042,광주
R05,광주
R060,광주
R074,광주
R1049,광주
R111,광주
R112,광주
R113,광주
R13,광주
R15,광주
R161,광주
R18,광주
R190,광주
R202,광주
R223,광주
R251,광주
R270,광주
R310,광주
R318,광주
R33,광주
R402,광주
R418,광주
R42,광주
R454,광주
R509,광주
R51,광주
R529,광주
R53,광주
R550,광주
R558,광주
R560,광주
R568,광주
R571,광주
R579,광주
R58,광주
R590,광주
R601,광주
R609,광주
R634,광주
R739,광주
R92,광주
R945,광주
S0089,광주
S010,광주
S0153,광주
S02620,광주
S02840,광주
S034,광주
S0600,광주
S0611,광주
S0621,광주
S0640,광주
S0650,광주
S0651,광주
S0661,광주
S0680,광주
S0681,광주
S1270,광주
S1290,광주
S134,광주
S141,광주
S146,광주
S2021,광주
S22060,광주
S22070,광주
S22090,광주
S2220,광주
S22320,광주
S22321,광주
S22330,광주
S22430,광주
S22450,광주
S22490,광주
S233,광주
S2340,광주
S246,광주
S301,광주
S311,광주
S32020,광주
S32030,광주
S32040,광주
S32050,광주
S32090,광주
S3210,광주
S3240,광주
S3270,광주
S32880,광주
S32890,광주
S330,광주
S3350,광주
S36519,광주
S37309,광주
S400,광주
S42030,광주
S42040,광주
S42050,광주
S42090,광주
S42150,광주
S42220,광주
S42230,광주
S42231,광주
S42290,광주
S4230,광주
S42430,광주
S42460,광주
S4280,광주
S4309,광주
S431,광주
S434,광주
S4600,광주
S4608,광주
S4698,광주
S500,광주
S52020,광주
S52120,광주
S52130,광주
S52520,광주
S52580,광주
S52590,광주
S5260,광주
S5270,광주
S619,광주
S62320,광주
S62330,광주
S62340,광주
S62390,광주
S62620,광주
S62640,광주
S62641,광주
S6502,광주
S6618,광주
S6628,광주
S6700,광주
S682,광주
S698,광주
S700,광주
S72040,광주
S72060,광주
S72080,광주
S72090,광주
S72120,광주
S72190,광주
S7220,광주
S7230,광주
S72420,광주
S72421,광주
S72440,광주
S72441,광주
S72490,광주
S7290,광주
S7319,광주
S7618,광주
S800,광주
S801,광주
S809,광주
S819,광주
S8200,광주
S82180,광주
S82220,광주
S82280,광주
S82380,광주
S82430,광주
S82490,광주
S8250,광주
S8251,광주
S8260,광주
S82820,광주
S82830,광주
S830,광주
S8320,광주
S8321,광주
S8329,광주
S8341,광주
S8351,광주
S836,광주
S837,광주
S8608,광주
S8618,광주
S8678,광주
S8698,광주
S901,광주
S911,광주
S913,광주
S9200,광주
S9230,광주
S9240,광주
S9250,광주
S932,광주
S9338,광주
S9340,광주
S9342,광주
S9348,광주
S9349,광주
S936,광주
S9628,광주
T009,광주
T0240,광주
T080,광주
T093,광주
T131,광주
T140,광주
T141,광주
T143,광주
T1759,광주
T181,광주
T182,광주
T189,광주
T2326,광주
T252,광주
T300,광주
T509,광주
T659,광주
T781,광주
T810,광주
T814,광주
T819,광주
T824,광주
T840,광주
T845,광주
T847,광주
T857,광주
T905,광주
T932,광주
Z491,광주
Z931,광주
Z952,광주
Z954,광주
A039,광주
A046,광주
A084,광주
A1691,광주
A170,광주
A1819,광주
A182,광주
A198,광주
A420,광주
A488,광주
A491,광주
A499,광주
A630,광주
A878,광주
B000,광주
B0088,광주
B082,광주
B351,광주
B441,광주
C01,광주
C029,광주
C108,광주
C155,광주
C1609,광주
C1611,광주
C1621,광주
C170,광주
C179,광주
C181,광주
C188,광주
C320,광주
C329,광주
C3409,광주
C342,광주
C3431,광주
C445,광주
C480,광주
C482,광주
C5011,광주
C5019,광주
C58,광주
C660,광주
C661,광주
C678,광주
C7930,광주
C794,광주
C809,광주
C849,광주
D012,광주
D0519,광주
D090,광주
D119,광주
D120,광주
D126,광주
D129,광주
D1439,광주
D150,광주
D152,광주
D169,광주
D200,광주
D321,광주
D331,광주
D34,광주
D350,광주
D351,광주
D360,광주
D372,광주
D377,광주
D379,광주
D432,광주
D45,광주
D474,광주
D595,광주
D758,광주
E063,광주
E1041,광주
E1148,광주
E1164,광주
E1433,광주
E162,광주
E308,광주
E889,광주
E890,광주
F000,광주
F002,광주
F069,광주
F103,광주
F458,광주
G060,광주
G119,광주
G211,광주
G249,광주
G258,광주
G259,광주
G3182,광주
G373,광주
G4040,광주
G440,광주
G454,광주
G462,광주
G4738,광주
G552,광주
G564,광주
G839,광주
G931,광주
H210,광주
H2500,광주
H2502,광주
H26020,광주
H490,광주
H5313,광주
H5345,광주
H905,광주
I059,광주
I212,광주
I256,광주
I312,광주
I313,광주
I328,광주
I330,광주
I340,광주
I427,광주
I443,광주
I447,광주
I461,광주
I483,광주
I519,광주
I601,광주
I605,광주
I608,광주
I618,광주
I6300,광주
I6301,광주
I6302,광주
I6309,광주
I6322,광주
I658,광주
I660,광주
I70880,광주
I7109,광주
I7120,광주
I716,광주
I718,광주
I7430,광주
I7431,광주
I776,광주
I809,광주
I81,광주
I831,광주
I872,광주
I889,광주
J0101,광주
J168,광주
J2080,광주
J324,광주
J390,광주
J392,광주
J438,광주
J4411,광주
J4480,광주
J4489,광주
J4502,광주
J4503,광주
J851,광주
J852,광주
J9610,광주
J9848,광주
K120,광주
K20,광주
K223,광주
K226,광주
K2541,광주
K295,광주
K311,광주
K312,광주
K388,광주
K389,광주
K4011,광주
K419,광주
K421,광주
K429,광주
K449,광주
K469,광주
K5011,광주
K5099,광주
K5521,광주
K5722,광주
K5723,광주
K5731,광주
K5742,광주
K589,광주
K5981,광주
K602,광주
K604,광주
K611,광주
K648,광주
K700,광주
K709,광주
K712,광주
K7210,광주
K739,광주
K862,광주
K913,광주
L0300,광주
L0335,광주
L038,광주
L049,광주
L050,광주
L599,광주
L729,광주
L892,광주
M05881,광주
M0600,광주
M1097,광주
M1251,광주
M1393,광주
M150,광주
M1917,광주
M1998,광주
M205,광주
M2332,광주
M2389,광주
M2399,광주
M2531,광주
M2595,광주
M316,광주
M4129,광주
M4307,광주
M450,광주
M4656,광주
M4682,광주
M4797,광주
M4799,광주
M4800,광주
M4804,광주
M4887,광주
M4925,광주
M500,광주
M508,광주
M5429,광주
M5455,광주
M6534,광주
M6729,광주
M702,광주
M703,광주
M7157,광주
M7158,광주
M7269,광주
M754,광주
M758,광주
M7687,광주
M79198,광주
M8000,광주
M8609,광주
M8649,광주
M8785,광주
M8789,광주
M8959,광주
M927,광주
M9932,광주
M9971,광주
N052,광주
N178,광주
N19,광주
N202,광주
N209,광주
N219,광주
N2888,광주
N301,광주
N311,광주
N318,광주
N362,광주
N402,광주
N411,광주
N412,광주
N4188,광주
N420,광주
N4592,광주
N46,광주
N4828,광주
N489,광주
N492,광주
N5088,광주
N63,광주
O926,광주
Q046,광주
Q831,광주
Q8920,광주
R030,광주
R031,광주
R048,광주
R1012,광주
R17,광주
R224,광주
R268,광주
R398,광주
R410,광주
R413,광주
R448,광주
R470,광주
R471,광주
R502,광주
R522,광주
R572,광주
R599,광주
R600,광주
R638,광주
R808,광주
S0148,광주
S018,광주
S0290,광주
S041,광주
S0601,광주
S0620,광주
S0660,광주
S099,광주
S143,광주
S2020,광주
S22050,광주
S22440,광주
S315,광주
S32891,광주
