상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 C34 ,146.0,169.0,150.0,5665,1224.0,265.0
 I50 ,98.0,31.0,87.0,2198,1962.0,1159.0
 M48 ,78.0,148.0,296.0,3643,1037.0,149.0
 I63 ,206.0,230.0,147.0,3211,1011.0,489.0
 C61 ,11.0,39.0,119.0,4486,407.0,224.0
 H25 ,50.0,159.0,223.0,3330,1020.0,111.0
 I25 ,96.0,39.0,191.0,3465,839.0,173.0
 S72 ,177.0,30.0,139.0,1628,1470.0,928.0
 E11 ,259.0,173.0,36.0,2649,828.0,207.0
 J18 ,30.0,36.0,91.0,1556,1071.0,1142.0
 S06 ,,36.0,50.0,2445,836.0,347.0
 N17 ,147.0,51.0,,1067,1441.0,792.0
 M75 ,174.0,136.0,245.0,2683,239.0,
 N18 ,190.0,112.0,170.0,2041,789.0,129.0
 C16 ,78.0,53.0,36.0,1801,1065.0,390.0
 N40 ,541.0,1059.0,2316.0,39889,10595.0,3208.0
 E11 ,2549.0,2002.0,3703.0,35385,9034.0,1562.0
 K05 ,3411.0,2275.0,4527.0,30325,6657.0,961.0
 K08 ,2556.0,1458.0,3794.0,31979,7094.0,1273.0
 M51 ,1759.0,600.0,1525.0,20442,6427.0,976.0
 I20 ,396.0,469.0,1108.0,20181,5869.0,1387.0
 L30 ,1299.0,704.0,1139.0,17909,4363.0,731.0
 I63 ,304.0,311.0,816.0,14263,4778.0,1794.0
 N18 ,1069.0,540.0,686.0,13008,5221.0,1527.0
 I10 ,956.0,785.0,1678.0,12978,4031.0,1231.0
 R42 ,664.0,556.0,1083.0,11565,3791.0,1172.0
 C61 ,40.0,76.0,340.0,13403,3943.0,810.0
 G81 ,2272.0,663.0,1184.0,11179,2656.0,555.0
 H35 ,131.0,223.0,593.0,11956,3708.0,1065.0
 K02 ,1960.0,648.0,1205.0,10014,2280.0,343.0
 I11 ,736.0,637.0,1142.0,10142,2508.0,549.0
 K04 ,1150.0,574.0,1090.0,10406,2131.0,196.0
 R52 ,2218.0,1094.0,770.0,8934,1697.0,621.0
 M75 ,904.0,694.0,1177.0,9335,2179.0,207.0
H42,291.0,308.0,696.0,8297,2799.0,685.0
 I20 ,10.0,19.0,43.0,633,46.0,8.0
 U07 ,276.0,72.0,62.0,47,15.0,1.0
 M48 ,9.0,8.0,17.0,298,29.0,1.0
 I50 ,2.0,1.0,8.0,112,53.0,13.0
 M51 ,14.0,4.0,10.0,143,4.0,0.0
 N40 ,0.0,0.0,11.0,131,8.0,1.0
 M17 ,3.0,6.0,16.0,108,9.0,0.0
 K29 ,7.0,3.0,3.0,80,17.0,1.0
 J18 ,1.0,1.0,2.0,63,28.0,13.0
 K63 ,2.0,2.0,4.0,93,6.0,0.0
 E11 ,5.0,1.0,3.0,89,7.0,0.0
 H25 ,0.0,1.0,3.0,85,5.0,0.0
 M75 ,4.0,5.0,5.0,75,2.0,0.0
 C16 ,5.0,3.0,6.0,63,7.0,2.0
 S46 ,4.0,6.0,7.0,65,0.0,0.0
 I63 ,4.0,0.0,0.0,60,8.0,2.0
 C34 ,4.0,6.0,4.0,37,21.0,1.0
 I73 ,0.0,0.0,0.0,58,8.0,0.0
 K80 ,7.0,4.0,4.0,45,3.0,2.0
 C22 ,4.0,2.0,0.0,48,10.0,0.0
 M48 ,623.0,219.0,776.0,15301,1240.0,61.0
 M51 ,466.0,46.0,353.0,7187,280.0,0.0
 M17 ,101.0,177.0,559.0,4809,432.0,0.0
 M75 ,83.0,146.0,147.0,3955,132.0,0.0
 S46 ,130.0,331.0,378.0,3355,0.0,0.0
 I63 ,233.0,0.0,0.0,2920,469.0,30.0
 I20 ,31.0,77.0,181.0,2986,270.0,53.0
 U07 ,2048.0,540.0,466.0,367,162.0,10.0
 E11 ,213.0,5.0,74.0,3002,237.0,0.0
 J18 ,103.0,15.0,16.0,2024,682.0,496.0
 I50 ,13.0,12.0,83.0,1930,711.0,147.0
 I69 ,220.0,0.0,290.0,2148,10.0,91.0
 M50 ,99.0,139.0,410.0,1793,93.0,66.0
 M96 ,184.0,0.0,49.0,2333,23.0,0.0
 M43 ,0.0,146.0,331.0,1880,27.0,0.0
 C16 ,75.0,21.0,146.0,1948,76.0,33.0
 C34 ,52.0,145.0,107.0,1318,543.0,8.0
 C22 ,62.0,7.0,0.0,1677,366.0,0.0
 S32 ,102.0,13.0,35.0,963,727.0,200.0
 G81 ,60.0,0.0,182.0,1636,150.0,0.0
N40,418.0,574.0,1723.0,30461,3974.0,996.0
E11,1058.0,1016.0,2026.0,18205,2381.0,324.0
U07,15801.0,1290.0,1489.0,3128,332.0,40.0
