상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 J69 ,39.0,0.0,0.0,1821,224.0,241.0
 M51 ,249.0,76.0,155.0,828,787.0,0.0
 K81 ,9.0,49.0,29.0,1136,540.0,272.0
 N18 ,0.0,486.0,27.0,604,631.0,85.0
 S72 ,48.0,0.0,24.0,745,810.0,173.0
 C22 ,73.0,31.0,23.0,1052,475.0,24.0
 C25 ,87.0,2.0,46.0,660,774.0,0.0
 N40 ,613.0,885.0,1394.0,18209,2388.0,1226.0
 I10 ,1537.0,1016.0,1830.0,10625,1970.0,692.0
 E11 ,1376.0,1004.0,1463.0,11380,1615.0,299.0
 M48 ,1062.0,1045.0,1212.0,11473,1857.0,371.0
 E30 ,16495.0,4.0,0.0,0,0.0,0.0
 I20 ,662.0,641.0,918.0,10066,1347.0,271.0
 M17 ,456.0,675.0,1292.0,9134,1369.0,351.0
 K05 ,907.0,675.0,786.0,7934,878.0,127.0
 Z26 ,5921.0,700.0,813.0,1909,280.0,104.0
 I63 ,518.0,405.0,456.0,4874,1269.0,415.0
 K21 ,479.0,408.0,507.0,5024,705.0,137.0
 H25 ,42.0,149.0,292.0,5077,445.0,126.0
 F00 ,17.0,44.0,119.0,2198,2647.0,1040.0
 M51 ,990.0,276.0,346.0,3936,192.0,76.0
 M75 ,641.0,366.0,491.0,3823,428.0,31.0
 Z49 ,1177.0,404.0,349.0,2780,520.0,0.0
 C61 ,20.0,87.0,118.0,3951,737.0,205.0
 R41 ,64.0,106.0,396.0,3576,755.0,157.0
 J44 ,111.0,109.0,142.0,3453,593.0,268.0
R63,155.0,85.0,213.0,3314,627.0,179.0
 I20 ,23.0,40.0,38.0,530,90.0,13.0
 N40 ,13.0,33.0,45.0,540,71.0,5.0
 H25 ,4.0,8.0,28.0,479,62.0,5.0
 M48 ,8.0,10.0,15.0,262,48.0,6.0
 I63 ,10.0,4.0,14.0,156,41.0,18.0
 C61 ,1.0,7.0,6.0,179,29.0,3.0
 C67 ,13.0,5.0,6.0,84,20.0,6.0
 C22 ,12.0,10.0,4.0,71,27.0,1.0
 K80 ,19.0,5.0,4.0,51,31.0,10.0
 E11 ,9.0,7.0,4.0,89,10.0,1.0
 I10 ,11.0,5.0,6.0,69,24.0,3.0
 M51 ,22.0,6.0,11.0,70,8.0,0.0
 R42 ,10.0,3.0,4.0,72,19.0,9.0
 I48 ,5.0,0.0,1.0,65,25.0,10.0
 C25 ,6.0,7.0,5.0,40,32.0,2.0
 C16 ,17.0,4.0,12.0,36,19.0,1.0
 N18 ,9.0,6.0,6.0,43,19.0,4.0
 C18 ,5.0,2.0,2.0,51,17.0,7.0
 J18 ,1.0,0.0,5.0,35,16.0,23.0
 C34 ,5.0,2.0,6.0,38,26.0,2.0
 I63 ,460.0,195.0,488.0,6764,996.0,566.0
 M48 ,143.0,180.0,422.0,6112,962.0,137.0
 I20 ,80.0,198.0,228.0,3272,781.0,150.0
 N40 ,41.0,127.0,182.0,3172,586.0,77.0
 C61 ,37.0,85.0,83.0,2923,426.0,291.0
 L89 ,0.0,0.0,0.0,1879,1376.0,63.0
 C22 ,226.0,330.0,69.0,1455,737.0,397.0
 M51 ,406.0,44.0,226.0,1882,638.0,0.0
 C16 ,250.0,167.0,204.0,1146,805.0,62.0
 S72 ,0.0,0.0,0.0,1112,1114.0,333.0
 G20 ,118.0,38.0,11.0,2225,128.0,11.0
 I61 ,198.0,489.0,377.0,1244,101.0,5.0
 N18 ,226.0,179.0,93.0,1493,290.0,75.0
 C34 ,130.0,28.0,119.0,883,1005.0,72.0
 C18 ,209.0,50.0,72.0,910,659.0,233.0
 K80 ,225.0,30.0,46.0,782,668.0,259.0
 E11 ,57.0,166.0,54.0,1482,186.0,10.0
 C25 ,109.0,136.0,162.0,987,537.0,24.0
 M17 ,2.0,160.0,246.0,1178,154.0,0.0
 K81 ,101.0,4.0,44.0,973,387.0,195.0
 N40 ,681.0,953.0,1439.0,17455,2885.0,1167.0
 I10 ,1694.0,990.0,1655.0,11120,2091.0,648.0
 E11 ,1278.0,895.0,1403.0,10351,1793.0,298.0
 E30 ,14938.0,4.0,0.0,0,0.0,0.0
 I20 ,619.0,731.0,870.0,10559,1778.0,324.0
 M48 ,691.0,728.0,1075.0,10167,1788.0,367.0
 K05 ,766.0,414.0,872.0,7554,955.0,141.0
 M17 ,318.0,416.0,843.0,7336,1180.0,328.0
 Z26 ,4953.0,771.0,788.0,2154,316.0,100.0
 H25 ,73.0,170.0,493.0,7073,963.0,176.0
 N18 ,1645.0,337.0,885.0,4152,1611.0,161.0
 I63 ,483.0,358.0,449.0,4611,1475.0,428.0
 K21 ,450.0,389.0,492.0,4837,805.0,121.0
 C61 ,12.0,130.0,167.0,4386,943.0,224.0
 M75 ,630.0,307.0,450.0,3574,834.0,54.0
 M51 ,839.0,447.0,469.0,3737,301.0,42.0
 F00 ,6.0,39.0,103.0,1880,2462.0,1277.0
 R41 ,51.0,61.0,310.0,3563,859.0,155.0
 J00 ,2203.0,121.0,199.0,1657,257.0,139.0
K02,356.0,187.0,245.0,2897,415.0,67.0
