주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A64,입원,24.0,8079830.0,10795010.0,336659.5833333333,449792.0833333333
A65,외래,30.0,1137040.0,1607540.0,37901.333333333336,53584.666666666664
A66,외래,274.0,10079820.0,15443890.0,36787.664233576645,56364.562043795624
A66,입원,1.0,2396540.0,2539690.0,2396540.0,2539690.0
A67,외래,48.0,1006740.0,1738540.0,20973.75,36219.583333333336
A68,외래,28.0,1776180.0,3693400.0,63435.0,131907.14285714287
A68,입원,3.0,6365850.0,7984550.0,2121950.0,2661516.6666666665
A69,외래,17221.0,432065940.0,611510590.0,25089.480285697693,35509.58655130364
A69,입원,47.0,39522820.0,49917370.0,840911.0638297872,1062071.7021276595
A70,외래,5.0,482910.0,1217290.0,96582.0,243458.0
A71,외래,37.0,1239930.0,1794430.0,33511.62162162162,48498.10810810811
A74,외래,3737.0,159320900.0,244780940.0,42633.369012576935,65501.99090179288
A74,입원,29.0,57712180.0,73780970.0,1990075.1724137932,2544171.379310345
A75,외래,5387.0,287603270.0,523920890.0,53388.39242621125,97256.52311119362
A75,입원,4484.0,8282170590.0,10990363570.0,1847049.6409455843,2451017.7453166815
A77,외래,190.0,5882060.0,11315020.0,30958.21052631579,59552.73684210526
A77,입원,32.0,54423400.0,72510920.0,1700731.25,2265966.25
A78,외래,65.0,4884280.0,13208510.0,75142.76923076923,203207.84615384616
A78,입원,8.0,36394330.0,50177290.0,4549291.25,6272161.25
A79,외래,194.0,8135890.0,13423750.0,41937.57731958763,69194.58762886598
A79,입원,21.0,40587870.0,54083720.0,1932755.7142857143,2575415.238095238
A80,외래,50.0,2663230.0,5748630.0,53264.6,114972.6
A80,입원,1.0,8141240.0,12233340.0,8141240.0,12233340.0
A81,외래,155.0,56641260.0,67575690.0,365427.48387096776,435972.1935483871
A81,입원,137.0,1787056320.0,2116414880.0,13044206.715328468,15448283.795620438
A82,외래,11.0,570820.0,1213120.0,51892.72727272727,110283.63636363637
A83,외래,11.0,3650320.0,5709660.0,331847.2727272727,519060.0
A83,입원,14.0,444818420.0,565186640.0,31772744.285714287,40370474.28571428
A84,외래,2.0,51830.0,120330.0,25915.0,60165.0
A84,입원,3.0,12320220.0,17417060.0,4106740.0,5805686.666666667
A85,외래,52.0,5283600.0,11287620.0,101607.69230769231,217069.61538461538
A85,입원,21.0,203853760.0,264863410.0,9707321.904761905,12612543.333333334
A86,외래,375.0,36232840.0,80280810.0,96620.90666666666,214082.16
A86,입원,200.0,1642440640.0,2160132860.0,8212203.2,10800664.3
A87,외래,2691.0,127485360.0,211589850.0,47374.71571906355,78628.70680044593
A87,입원,1074.0,2551227850.0,3408661540.0,2375444.9255121043,3173800.316573557
A88,외래,2035.0,46591560.0,61860890.0,22895.11547911548,30398.471744471746
A88,입원,17.0,19979370.0,23463740.0,1175257.0588235294,1380220.0
A89,외래,8.0,563560.0,1113550.0,70445.0,139193.75
A89,입원,6.0,45095350.0,60273860.0,7515891.666666667,10045643.333333334
A92,외래,22.0,1211700.0,3068130.0,55077.27272727273,139460.45454545456
A92,입원,2.0,4188750.0,5633430.0,2094375.0,2816715.0
A93,외래,192.0,8908210.0,21090460.0,46396.927083333336,109846.14583333333
A93,입원,201.0,1386464270.0,1797450020.0,6897832.189054727,8942537.412935324
