주상병코드,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A63,182828.0,20914231870.0,30235130500.0,114392.93691338308,165374.72651891396
A64,36941.0,3888083250.0,5662150510.0,105251.16401829945,153275.50716006604
A65,30.0,1137040.0,1607540.0,37901.333333333336,53584.666666666664
A66,275.0,12476360.0,17983580.0,45368.58181818182,65394.836363636365
A67,48.0,1006740.0,1738540.0,20973.75,36219.583333333336
A68,31.0,8142030.0,11677950.0,262646.12903225806,376708.06451612903
A69,17268.0,471588760.0,661427960.0,27309.981468612463,38303.680796849665
A70,5.0,482910.0,1217290.0,96582.0,243458.0
A71,37.0,1239930.0,1794430.0,33511.62162162162,48498.10810810811
A74,3766.0,217033080.0,318561910.0,57629.60169941583,84588.92989909719
A75,9871.0,8569773860.0,11514284460.0,868176.867591936,1166475.9862222672
A77,222.0,60305460.0,83825940.0,271646.2162162162,377594.3243243243
A78,73.0,41278610.0,63385800.0,565460.4109589041,868298.6301369863
A79,215.0,48723760.0,67507470.0,226622.13953488372,313988.23255813954
A80,51.0,10804470.0,17981970.0,211852.35294117648,352587.64705882355
A81,292.0,1843697580.0,2183990570.0,6314032.808219178,7479419.7602739725
A82,11.0,570820.0,1213120.0,51892.72727272727,110283.63636363637
A83,25.0,448468740.0,570896300.0,17938749.6,22835852.0
A84,5.0,12372050.0,17537390.0,2474410.0,3507478.0
A85,73.0,209137360.0,276151030.0,2864895.342465753,3782890.821917808
A86,575.0,1678673480.0,2240413670.0,2919432.139130435,3896371.6
A87,3765.0,2678713210.0,3620251390.0,711477.6122177955,961554.1540504649
A88,2052.0,66570930.0,85324630.0,32441.973684210527,41581.2037037037
A89,14.0,45658910.0,61387410.0,3261350.714285714,4384815.0
A92,24.0,5400450.0,8701560.0,225018.75,362565.0
A93,393.0,1395372480.0,1818540480.0,3550566.106870229,4627329.465648855
A94,48.0,1210430.0,3803860.0,25217.291666666668,79247.08333333333
A95,8.0,550620.0,759020.0,68827.5,94877.5
A97,233.0,122068400.0,166592540.0,523898.71244635194,714989.4420600858
A98,231.0,279418490.0,370536010.0,1209603.8528138527,1604051.9913419914
A99,73.0,16558100.0,22016370.0,226823.2876712329,301594.1095890411
B00,888037.0,22682910250.0,30758991430.0,25542.753567700445,34637.06065175212
B01,27150.0,2285478660.0,2914344920.0,84179.69281767956,107342.35432780847
B02,767541.0,71473558110.0,99871424890.0,93120.18264822336,130118.68407029723
B04,263.0,547628310.0,652425400.0,2082236.9201520912,2480704.9429657795
B05,134.0,27892940.0,36225310.0,208156.26865671642,270338.1343283582
B06,123.0,12154890.0,15688360.0,98820.24390243902,127547.64227642276
B07,455505.0,63418729250.0,90472417690.0,139227.29552913798,198620.03203038385
B08,626840.0,36348507670.0,43416316120.0,57986.898841809714,69262.19788143705
B09,22245.0,777627480.0,1192902030.0,34957.4052596089,53625.62508428861
B15,2009.0,1278180680.0,1678452240.0,636227.3170731707,835466.5206570433
B16,1563.0,555403220.0,768540020.0,355344.3506078055,491708.26615483046
B17,32822.0,12418753670.0,17308807300.0,378366.7561391749,527353.8267016025
B18,444330.0,99104342950.0,178231320270.0,223042.20500528885,401123.7599756937
B19,2595.0,333944080.0,466342170.0,128687.50674373796,179707.96531791906
B20,949.0,6929279720.0,7745569330.0,7301664.615384615,8161822.265542677
B21,31.0,183299780.0,203460820.0,5912896.129032258,6563252.258064516
B22,70.0,431815090.0,481386290.0,6168787.0,6876947.0
B23,441.0,2918216530.0,3248395520.0,6617271.043083901,7365976.235827665
B24,13979.0,105555352090.0,117429228700.0,7550994.498175835,8400402.653980972
B25,1442.0,3614195000.0,4481300110.0,2506376.560332871,3107697.718446602
B26,7450.0,460676520.0,617737780.0,61835.7744966443,82917.82281879194
B27,2926.0,1373691760.0,1813554330.0,469477.7033492823,619806.6746411483
B30,170039.0,5018975050.0,6825594940.0,29516.61118919777,40141.34957274508
B33,8365.0,327715180.0,485825700.0,39176.94919306635,58078.386132695756
B34,237139.0,35761536830.0,45144424300.0,150804.11416932684,190371.1506753423
B35,2012136.0,62410624390.0,83849330530.0,31017.10042959323,41671.80077787983
B36,85600.0,1912294230.0,2892138690.0,22339.885864485983,33786.66693925234
B37,713641.0,48740536100.0,70150850040.0,68298.3966728369,98299.91555978426
B38,13.0,6133770.0,8437540.0,471828.46153846156,649041.5384615385
B39,16.0,746690.0,1626780.0,46668.125,101673.75
B40,16.0,609370.0,854670.0,38085.625,53416.875
B42,26.0,3907430.0,10436660.0,150285.76923076922,401410.0
B43,2562.0,177573470.0,280315710.0,69310.48790007806,109412.84543325526
B44,3924.0,10690558660.0,13662734690.0,2724403.3282364933,3481838.6060142713
B45,381.0,1404754260.0,1811987390.0,3687019.05511811,4755872.414698163
B46,217.0,1045994260.0,1300207620.0,4820250.046082949,5991740.184331797
B47,732.0,110019800.0,187597570.0,150300.27322404372,256280.83333333334
B48,2385.0,9603068810.0,11094307300.0,4026443.9454926625,4651701.174004192
B49,10720.0,2416424940.0,3598956630.0,225412.77425373133,335723.56623134325
B50,94.0,69121980.0,97316160.0,735340.2127659575,1035278.2978723404
B51,524.0,347340680.0,459393570.0,662863.893129771,876705.286259542
B52,3.0,2370740.0,3029960.0,790246.6666666666,1009986.6666666666
B53,44.0,28995540.0,39154010.0,658989.5454545454,889863.8636363636
B54,841.0,472011700.0,641528100.0,561250.535077289,762815.8145065398
B55,6.0,5870020.0,8535200.0,978336.6666666666,1422533.3333333333
B56,57.0,1635120.0,2471120.0,28686.315789473683,43352.98245614035
B57,1.0,123970.0,176970.0,123970.0,176970.0
B58,345.0,111438550.0,174949100.0,323010.28985507245,507098.84057971014
B60,257.0,12409540.0,21740040.0,48286.14785992218,84591.5953307393
B64,23.0,1240600.0,1688970.0,53939.13043478261,73433.47826086957
B65,42.0,1137970.0,2104340.0,27094.52380952381,50103.333333333336
B66,3199.0,182422820.0,296133960.0,57024.95154735855,92570.79087214754
B67,22.0,18997260.0,27121900.0,863511.8181818182,1232813.6363636365
B68,74.0,2772070.0,4916670.0,37460.40540540541,66441.48648648648
B69,234.0,91592640.0,142888210.0,391421.53846153844,610633.3760683761
B70,98.0,18460330.0,32811020.0,188370.7142857143,334806.32653061225
B71,67.0,2074320.0,3673790.0,30960.0,54832.68656716418
B72,7.0,352260.0,513420.0,50322.857142857145,73345.71428571429
B73,32.0,3509680.0,6175980.0,109677.5,192999.375
B74,1.0,8680.0,12380.0,8680.0,12380.0
B75,6.0,290730.0,781000.0,48455.0,130166.66666666667
B76,872.0,6679440.0,9077770.0,7659.908256880734,10410.286697247706
B77,1215.0,14431690.0,19606910.0,11877.9341563786,16137.374485596707
B79,46.0,1914530.0,3409830.0,41620.217391304344,74126.73913043478
B80,456.0,5885010.0,8674510.0,12905.723684210527,19023.048245614034
B81,445.0,105943170.0,159851000.0,238074.5393258427,359215.7303370786
B82,530.0,14233390.0,22949800.0,26855.45283018868,43301.50943396227
B83,3337.0,129706040.0,218994360.0,38869.056038357805,65626.11926880431
B85,7544.0,179960630.0,251957790.0,23854.80249204666,33398.43451749735
B86,35012.0,1197831380.0,1749717410.0,34212.0238775277,49974.791785673486
B87,52.0,5722100.0,8963320.0,110040.38461538461,172371.53846153847
B88,44378.0,3094410850.0,4347650670.0,69728.48821488125,97968.60313668934
B89,860.0,63855710.0,109314970.0,74250.82558139534,127110.43023255814
B90,5572.0,667565580.0,1104001790.0,119807.1751615219,198133.84601579324
B91,272.0,23996340.0,38844320.0,88221.83823529411,142810.0
B92,26.0,1078220.0,1481820.0,41470.0,56993.07692307692
B94,277.0,46057640.0,65385520.0,166273.06859205777,236048.80866425994
B95,159.0,787518110.0,960761580.0,4952944.088050314,6042525.660377358
B96,2321.0,311172640.0,392422840.0,134068.34984920293,169074.89875053856
B97,9752.0,1463821520.0,1934020040.0,150104.74979491386,198320.3486464315
B98,41875.0,1030081690.0,1789244220.0,24598.965731343284,42728.22017910448
B99,2384.0,1743574860.0,2141040210.0,731365.293624161,898087.336409396
C00,463.0,771139940.0,858150070.0,1665529.0280777537,1853455.8747300217
C01,1330.0,5969045270.0,6531296820.0,4488003.962406015,4910749.488721805
C02,6334.0,28041285670.0,31218701550.0,4427105.410483107,4928749.850015787
C03,1492.0,6862043650.0,7628205160.0,4599224.966487936,5112738.042895443
