day,veteran_patients,general_patients,total_patients,occupied_beds,bed_utilization_rate,veteran_revenue,general_revenue,total_revenue,doctor_efficiency,specialization_effect
31,83,33,116,153,0.7659987639210755,4246385.284321817,2717371.132950852,6963756.417272668,0.04375,1.2089999999999999
32,78,27,105,164,0.8236916460455894,3435391.636090967,2301815.579464907,5737207.215555874,0.048357142857142855,1.2093
33,75,27,102,171,0.8579297789503703,3442244.1306181084,2368089.2439167732,5810333.374534882,0.04980392156862745,1.2096
34,88,31,119,178,0.8948396491326974,4292029.228958737,2293073.431239343,6585102.660198079,0.04271008403361345,1.2099
35,68,36,104,159,0.7961449145292948,3515991.671437659,2959686.9502070453,6475678.621644704,0.048894230769230766,1.2102
36,84,36,120,174,0.8726767038578659,4088844.130040058,3663408.7199778105,7752252.850017868,0.04239583333333334,1.2105
37,78,42,120,149,0.7464553750969444,4088164.241944842,3284916.504130514,7373080.746075356,0.04241666666666667,1.2107999999999999
38,86,34,120,159,0.7963585543671564,3935878.701230586,2307961.5548854447,6243840.256116031,0.0424375,1.2111
39,82,29,111,162,0.8107046872065102,3589247.100728085,2360177.974797474,5949425.0755255595,0.045900900900900904,1.2114
40,78,42,120,161,0.8076862552972764,3922701.4001939404,2975961.9799289107,6898663.380122852,0.04247916666666667,1.2117
41,87,33,120,170,0.8541525621587639,4808403.892635183,2276295.286859328,7084699.179494511,0.0425,1.212
42,76,30,106,165,0.8256892975456105,3995718.120796298,3324655.5577571327,7320373.67855343,0.04813679245283019,1.2123
43,90,30,120,169,0.8477000881746601,4793126.063087609,2324335.381286317,7117461.444373926,0.042541666666666665,1.2126
44,79,41,120,157,0.7881590696629996,3758281.398607504,3306854.7177187135,7065136.116326218,0.04256250000000001,1.2128999999999999
45,78,42,120,166,0.8343130095187258,3271040.8102360354,3201430.8930947506,6472471.703330786,0.04258333333333334,1.2132
46,84,36,120,149,0.7461127611035347,3899572.442110813,3075724.1516931863,6975296.593804,0.04260416666666667,1.2135
47,78,32,110,160,0.8022785919951907,3645875.864433732,3108849.686867283,6754725.551301016,0.0465,1.2138
48,78,42,120,161,0.8093227157384715,3641903.2787403287,3646417.600491531,7288320.87923186,0.04264583333333334,1.2141
49,76,34,110,165,0.8252493639490229,4128986.973784646,2393519.377280829,6522506.3510654755,0.04654545454545455,1.2144
50,78,38,116,153,0.7673335383713145,4588527.153709628,3163114.4401321304,7751641.593841758,0.044159482758620694,1.2147
51,78,27,105,180,0.9,4302661.451614947,1831816.0873539334,6134477.538968881,0.0488095238095238,1.2149999999999999
52,86,29,115,152,0.764616526719061,4490842.354102879,2499715.1003956064,6990557.454498485,0.044586956521739135,1.2153
53,76,34,110,140,0.7,3410732.6962929703,2651301.462821061,6062034.159114031,0.046636363636363636,1.2156
54,79,27,106,145,0.7284929311019684,3776182.427754692,2188239.964693796,5964422.392448488,0.04841981132075472,1.2159
55,78,42,120,171,0.858158187607748,3903990.893797639,3030213.0932478886,6934203.987045527,0.042791666666666665,1.2162
56,85,35,120,153,0.7699891561420603,4279665.886120758,2692112.192878707,6971778.078999465,0.04281250000000001,1.2165
57,87,33,120,175,0.8793008408072677,3811550.2580103204,3203120.8109092545,7014671.068919575,0.04283333333333334,1.2167999999999999
58,68,31,99,165,0.8294158603242289,3495537.235029911,2325570.5190844927,5821107.754114404,0.051944444444444446,1.2170999999999998
59,81,39,120,154,0.7705317621527894,4394088.849293515,3231388.8316210946,7625477.68091461,0.042875,1.2174
60,85,30,115,163,0.8153649760438305,4595466.400506558,2551110.922061667,7146577.322568225,0.044760869565217395,1.2177
61,75,38,113,167,0.8373646802561632,3978888.849537549,3033645.915434899,7012534.764972448,0.04557522123893806,1.218
62,90,30,120,154,0.7704214305582086,4746193.821526517,2351473.7634158656,7097667.584942383,0.0429375,1.2183
63,90,30,120,168,0.8412708174494016,4866079.336200288,2713314.913717039,7579394.2499173265,0.042958333333333334,1.2186
64,88,32,120,156,0.7844866621703273,4542633.195094915,2526683.3780818726,7069316.573176788,0.04297916666666667,1.2188999999999999
65,87,33,120,151,0.7590889658383264,5260188.464923175,2374411.411284079,7634599.876207254,0.043000000000000003,1.2192
66,82,28,110,167,0.8395831346981468,4355889.124991384,2380749.3940751986,6736638.519066583,0.04693181818181818,1.2195
67,78,42,120,160,0.8037902279096864,3635906.9325102763,3687640.230428364,7323547.16293864,0.043041666666666666,1.2198
68,79,41,120,156,0.7839307079173504,4113107.9244388714,3095098.346680296,7208206.271119168,0.04306250000000001,1.2201
69,82,34,116,162,0.8122483285554362,3892153.298097837,2591877.580871816,6484030.878969653,0.044568965517241384,1.2204
70,78,42,120,145,0.7296268112811722,3619806.75371155,3288281.7570248195,6908088.5107363695,0.04310416666666667,1.2207
