day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
39,부산,80,23,103,0.22330097087378642,0.06113999999999999,0.106197,0.7026599999999998
40,부산,80,30,110,0.2727272727272727,0.06117,0.1062285,0.7027299999999999
41,부산,80,23,103,0.22330097087378642,0.0612,0.10626,0.7027999999999999
42,부산,80,29,109,0.26605504587155965,0.06122999999999999,0.1062915,0.7028699999999999
43,부산,80,30,110,0.2727272727272727,0.061259999999999995,0.10632299999999999,0.7029399999999998
44,부산,80,25,105,0.23809523809523808,0.061290000000000004,0.10635449999999999,0.7030099999999998
45,부산,80,26,106,0.24528301886792453,0.06132,0.10638600000000001,0.7030799999999998
46,부산,80,25,105,0.23809523809523808,0.061349999999999995,0.1064175,0.7031499999999998
47,부산,80,27,107,0.2523364485981308,0.06137999999999999,0.106449,0.7032199999999998
48,부산,80,27,107,0.2523364485981308,0.06141,0.10648049999999999,0.7032899999999997
49,부산,80,29,109,0.26605504587155965,0.06144,0.106512,0.7033599999999998
50,부산,80,31,111,0.27927927927927926,0.06147,0.10654349999999999,0.7034299999999998
51,부산,80,31,111,0.27927927927927926,0.06149999999999999,0.10657499999999999,0.7034999999999998
52,부산,80,27,107,0.2523364485981308,0.06153,0.1066065,0.7035699999999999
53,부산,80,27,107,0.2523364485981308,0.06156,0.106638,0.7036399999999999
54,부산,80,24,104,0.23076923076923078,0.06159,0.1066695,0.70371
55,부산,80,26,106,0.24528301886792453,0.061619999999999994,0.10670099999999999,0.7037799999999999
56,부산,80,30,110,0.2727272727272727,0.06165,0.1067325,0.7038499999999999
57,부산,80,32,112,0.2857142857142857,0.06168,0.10676399999999998,0.7039199999999999
58,부산,80,25,105,0.23809523809523808,0.061709999999999994,0.10679549999999999,0.7039899999999999
59,부산,80,27,107,0.2523364485981308,0.06173999999999999,0.106827,0.7040599999999999
60,부산,80,28,108,0.25925925925925924,0.061770000000000005,0.1068585,0.7041299999999998
61,부산,80,29,109,0.26605504587155965,0.0618,0.10689,0.7041999999999998
62,부산,80,27,107,0.2523364485981308,0.061829999999999996,0.10692149999999999,0.7042699999999998
63,부산,80,30,110,0.2727272727272727,0.06185999999999999,0.10695299999999999,0.7043399999999999
64,부산,80,28,108,0.25925925925925924,0.06189,0.10698449999999998,0.7044099999999999
65,부산,80,29,109,0.26605504587155965,0.06192,0.10701600000000001,0.7044799999999998
66,부산,80,30,110,0.2727272727272727,0.06195,0.1070475,0.7045499999999998
67,부산,80,29,109,0.26605504587155965,0.06197999999999999,0.107079,0.7046199999999998
68,부산,80,28,108,0.25925925925925924,0.06201,0.1071105,0.7046899999999998
69,부산,80,29,109,0.26605504587155965,0.06204,0.10714199999999999,0.7047599999999998
70,부산,80,29,109,0.26605504587155965,0.06206999999999999,0.10717349999999999,0.7048299999999997
71,부산,80,28,108,0.25925925925925924,0.062099999999999995,0.10720499999999998,0.7048999999999997
72,부산,80,28,108,0.25925925925925924,0.062130000000000005,0.10723650000000001,0.7049699999999999
73,부산,80,33,113,0.2920353982300885,0.06216,0.107268,0.7050399999999999
74,부산,80,31,111,0.27927927927927926,0.062189999999999995,0.1072995,0.7051099999999999
75,부산,80,29,109,0.26605504587155965,0.06221999999999999,0.107331,0.7051799999999999
76,부산,80,31,111,0.27927927927927926,0.06225,0.10736249999999999,0.7052499999999999
77,부산,80,29,109,0.26605504587155965,0.06228,0.10739399999999999,0.7053199999999998
78,부산,80,32,112,0.2857142857142857,0.06231,0.10742549999999998,0.7053899999999999
79,부산,80,30,110,0.2727272727272727,0.06233999999999999,0.10745700000000001,0.7054599999999999
80,부산,80,29,109,0.26605504587155965,0.06237,0.1074885,0.7055299999999999
81,부산,80,31,111,0.27927927927927926,0.0624,0.10752,0.7055999999999999
82,부산,80,26,106,0.24528301886792453,0.06243,0.1075515,0.7056699999999998
83,부산,80,27,107,0.2523364485981308,0.062459999999999995,0.107583,0.7057399999999998
84,부산,80,27,107,0.2523364485981308,0.062490000000000004,0.10761449999999999,0.7058099999999998
85,부산,80,30,110,0.2727272727272727,0.06252,0.10764599999999998,0.7058799999999998
86,부산,80,34,114,0.2982456140350877,0.06255,0.10767750000000001,0.7059499999999999
87,부산,80,35,115,0.30434782608695654,0.06258,0.107709,0.7060199999999998
88,부산,80,31,111,0.27927927927927926,0.06261,0.1077405,0.7060899999999998
89,부산,80,31,111,0.27927927927927926,0.06264,0.10777199999999999,0.7061599999999998
90,부산,80,26,106,0.24528301886792453,0.06267,0.1078035,0.7062299999999998
91,부산,80,29,109,0.26605504587155965,0.06269999999999999,0.10783499999999999,0.7062999999999998
92,부산,80,28,108,0.25925925925925924,0.06273000000000001,0.1078665,0.7063699999999999
93,부산,80,28,108,0.25925925925925924,0.06276,0.10789800000000001,0.70644
94,부산,80,30,110,0.2727272727272727,0.06279,0.1079295,0.7065099999999999
95,부산,80,29,109,0.26605504587155965,0.06281999999999999,0.107961,0.7065799999999999
96,부산,80,25,105,0.23809523809523808,0.06285,0.10799249999999999,0.7066499999999999
97,부산,80,32,112,0.2857142857142857,0.06288,0.108024,0.7067199999999999
98,부산,80,28,108,0.25925925925925924,0.06291,0.10805549999999998,0.7067899999999999
