,,합계,합계,합계,합계,합계,합계
,,mean,min,median,max,std,var
기준일,본인유족구분,,,,,,
2022-08-31,본인,18851.18181818182,0.0,13268.0,108252.0,26994.49019907998,728702501.1082251
2022-08-31,유족,11320.181818181818,0.0,2035.5,46299.0,15138.62837290707,229178069.01298696
2022-09-30,본인,18820.090909090908,0.0,13337.0,109753.0,26999.09670430633,728951222.8484849
2022-09-30,유족,11353.636363636364,0.0,2055.0,46511.0,15183.390676423382,230535352.4329005
2022-10-31,본인,18790.18181818182,0.0,13387.5,111188.0,27006.054771964013,729326994.3463203
2022-10-31,유족,11381.227272727272,0.0,2070.5,46715.0,15229.33927195048,231932774.66017318
2022-11-30,본인,18738.272727272728,0.0,13407.5,112283.0,26989.778959877203,728448168.3030303
2022-11-30,유족,11415.772727272728,0.0,2079.5,46959.0,15281.610591793678,233527622.27922076
2022-12-31,본인,18681.409090909092,0.0,13429.5,113669.0,26999.545177225787,728975439.7770563
2022-12-31,유족,11450.40909090909,0.0,2091.0,47108.0,15325.52111025481,234871597.3008658
2023-01-31,본인,18655.727272727272,0.0,13502.0,115072.0,26969.696850498563,727364548.2077922
2023-01-31,유족,11485.90909090909,0.0,2120.0,47331.0,15376.53502026504,236437829.22943723
2023-02-28,본인,18592.272727272728,0.0,13558.0,116165.0,26910.00589474873,724148417.2554114
2023-02-28,유족,11524.272727272728,0.0,2151.0,47448.0,15425.415160521898,237943432.87445882
2023-03-31,본인,18555.454545454544,0.0,13618.5,117362.0,26901.735539210942,723703375.0216451
2023-03-31,유족,11563.181818181818,0.0,2191.0,47666.0,15479.153153397001,239604182.34632033
2023-04-30,본인,18528.090909090908,0.0,13702.0,118477.0,26930.4269163358,725247893.8961037
2023-04-30,유족,11594.40909090909,0.0,2197.5,47821.0,15527.767213421224,241111554.63419914
2023-05-31,본인,18486.18181818182,0.0,13760.0,119710.0,26983.772470269472,728123976.7272726
2023-05-31,유족,11630.181818181818,0.0,2223.5,48135.0,15579.195075595631,242711319.2034632
2023-06-30,본인,18466.863636363636,0.0,13828.0,120697.0,27020.338282214037,730098680.8852814
2023-06-30,유족,11657.136363636364,0.0,2213.0,48202.0,15620.443217586779,243998246.31385282
2023-07-31,본인,18457.68181818182,0.0,13998.0,121961.0,27091.806843339124,733965998.0367966
2023-07-31,유족,11682.636363636364,0.0,2224.0,48241.0,15658.10235581826,245176169.38528138
2023-08-31,본인,18425.18181818182,0.0,14105.5,122991.0,27147.470492770484,736985154.1558441
2023-08-31,유족,11713.59090909091,0.0,2236.0,48273.0,15699.307863600354,246468267.39610392
2023-09-30,본인,18388.636363636364,0.0,14133.0,124109.0,27219.298903789804,740890232.8138528
2023-09-30,유족,11743.181818181818,0.0,2255.5,48346.0,15742.028037304237,247811446.72727266
2023-10-31,본인,18347.0,0.0,14132.0,125248.0,27305.211939254732,745574599.0476191
2023-10-31,유족,11772.5,0.0,2275.0,48391.0,15784.150681556968,249139412.73809528
2023-11-30,본인,18314.31818181818,0.0,14024.0,126236.0,27378.303478669564,749571501.37013
2023-11-30,유족,11802.09090909091,0.0,2304.5,48358.0,15821.666897641142,250325143.41991347
2023-12-31,본인,18314.31818181818,0.0,14024.0,126236.0,27378.303478669564,749571501.37013
2023-12-31,유족,11802.09090909091,0.0,2304.5,48358.0,15821.666897641142,250325143.41991347
2024-01-31,본인,18260.81818181818,0.0,14023.5,127308.0,27409.155272048658,751261792.7272727
2024-01-31,유족,11866.681818181818,0.0,2371.5,48247.0,15902.031078379547,252874592.41774896
2024-02-29,본인,18219.454545454544,0.0,14025.0,127080.0,27322.953869677087,746543808.1645021
