기준일,본인유족구분,성별,mean,min,median,max,std,var
2022-05-31,유족,남,3982.0454545454545,0.0,445.5,19305.0,6418.481480977024,41196904.52164502
2022-05-31,유족,여,7239.090909090909,0.0,1255.5,35097.0,10632.906250159236,113058695.32467534
2022-06-30,본인,남,18638.409090909092,0.0,12657.0,105185.0,26984.314443163687,728153225.9675323
2022-06-30,본인,여,269.0,0.0,228.5,805.0,272.31756671734774,74156.85714285714
2022-06-30,유족,남,4006.3636363636365,0.0,445.5,19430.0,6457.900119753321,41704473.95670996
2022-06-30,유족,여,7251.636363636364,0.0,1250.0,34972.0,10641.979987387123,113251738.05194804
2022-07-31,본인,남,18618.772727272728,0.0,12744.0,106560.0,26959.162488637226,726796442.0887445
2022-07-31,본인,여,270.3181818181818,0.0,233.0,814.0,272.98794432889844,74522.41774891775
2022-07-31,유족,남,4027.7727272727275,0.0,444.5,19600.0,6490.815290575109,42130683.13636364
2022-07-31,유족,여,7260.272727272727,0.0,1247.5,34916.0,10646.173303930196,113341006.017316
2022-08-31,본인,남,18580.090909090908,0.0,12777.0,108090.0,26956.86302208293,726672463.9913421
2022-08-31,본인,여,271.09090909090907,0.0,236.0,810.0,272.82314332267987,74432.46753246753
2022-08-31,유족,남,4045.909090909091,0.0,447.5,19945.0,6522.387715794846,42541541.515151516
2022-08-31,유족,여,7274.272727272727,0.0,1240.5,34852.0,10654.343644425335,113515038.4935065
2022-09-30,본인,남,18547.636363636364,0.0,12837.0,109589.0,26962.19575724403,726960000.051948
2022-09-30,본인,여,272.45454545454544,0.0,237.5,806.0,273.2404709744788,74660.35497835498
2022-09-30,유족,남,4065.7727272727275,0.0,451.0,20199.0,6556.973553704688,42993902.183982685
2022-09-30,유족,여,7287.863636363636,0.0,1233.0,34777.0,10660.641708977286,113649281.64718616
2022-10-31,본인,남,18516.954545454544,0.0,12885.0,111026.0,26969.634904881405,727361206.9025974
2022-10-31,본인,여,273.22727272727275,0.0,237.5,807.0,273.7275203761131,74926.7554112554
2022-10-31,유족,남,4082.181818181818,0.0,445.0,20408.0,6590.561524139138,43435501.2034632
2022-10-31,유족,여,7299.045454545455,0.0,1226.0,34767.0,10672.555375163472,113903438.23593074
2022-11-30,본인,남,18464.954545454544,0.0,12899.0,112119.0,26953.094241446783,726469289.1883117
2022-11-30,본인,여,273.3181818181818,0.0,234.0,809.0,274.18509326359333,75177.46536796537
2022-11-30,유족,남,4105.863636363636,0.0,445.5,20662.0,6634.362296088267,44014763.07575758
