Type,Model,CV_F1_Mean,CV_F1_Std,CV_Acc_Mean,CV_Acc_Std,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Test_Precision_Weighted,Test_Recall_Weighted,Test_Precision_Macro,Test_Recall_Macro,Test_AUC,Test_F1_Score,Test_Precision,Test_Recall,Best_Params
Sampling-ADASYN,XGBoost,0.9977895267495394,0.002707265807022568,0.9977900552486189,0.002706618500312897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-ADASYN,LightGBM,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-ADASYN,CatBoost,0.9988946355584162,0.002210728883167601,0.9988950276243095,0.0022099447513812096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-ADASYN,AdaBoost,0.3428141019845446,0.024051833877109765,0.4933823082994354,0.003298776718055126,0.5769230769230769,0.4624742653939734,0.2635847526358475,0.39411057692307694,0.5769230769230769,0.209375,0.5,0.789912969764036,,,,
Sampling-ADASYN,Neural Network,0.9422260847202109,0.014587029770806977,0.9425900066784045,0.014282069248460535,0.8942307692307693,0.8869666995457135,0.6766901450845826,0.8811416948436179,0.8942307692307693,0.6670100732600732,0.6879426827939414,0.9687713036690366,,,,
Sampling-ADASYN,Logistic Regression,0.905870648894393,0.0220714814794483,0.9061927023252991,0.021764188519982627,0.8173076923076923,0.8047637390857729,0.6100410888546481,0.7967689970306544,0.8173076923076923,0.6106182241062384,0.6139533616650321,0.9437294797143715,,,,
Sampling-RandomUnderSampler,Random Forest,0.5878835978835978,0.16423251786371149,0.5777777777777778,0.17083672083362286,0.7596153846153846,0.7835342867021585,0.6865172115357772,0.8483593529325237,0.7596153846153846,0.6718476870915895,0.8418600849950965,0.9127763394989767,,,,
Sampling-RandomUnderSampler,XGBoost,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9903846153846154,0.9904443607606853,0.9924684616832988,0.9907852564102565,0.9903846153846154,0.9895833333333334,0.9956140350877193,0.9992675435937847,,,,
Sampling-RandomUnderSampler,LightGBM,0.07232323232323233,0.006927849777568588,0.2088888888888889,0.010886621079036336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-RandomUnderSampler,CatBoost,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-RandomUnderSampler,AdaBoost,0.5256161616161615,0.1889464353543593,0.6222222222222221,0.1424650704428854,0.23076923076923078,0.20393559928443647,0.26744186046511625,0.20296570898980537,0.23076923076923078,0.25903614457831325,0.5,0.8486412471034339,,,,
Sampling-RandomUnderSampler,Neural Network,0.48030158730158734,0.1258146229019697,0.5199999999999999,0.10408923047671438,0.47115384615384615,0.49301333975303047,0.4042943053510064,0.5547376410776512,0.47115384615384615,0.41153791976560744,0.5159365805818895,0.68297926385776,,,,
Sampling-RandomUnderSampler,Logistic Regression,0.48794708994709,0.0681438297622865,0.49777777777777776,0.05682983045575299,0.6538461538461539,0.6687409091255245,0.5252697752697753,0.6897941970310391,0.6538461538461539,0.5295948203842941,0.5548109403944644,0.7978625738178802,,,,
Sampling-SMOTEENN,Random Forest,0.9741875469200634,0.007681943715668759,0.9743354838709678,0.00779918616848829,0.6153846153846154,0.6400064485102848,0.5154163114521171,0.7773589204031103,0.6153846153846154,0.5742706466110722,0.5813446660128582,0.8844104289673166,,,,
Sampling-SMOTEENN,XGBoost,0.9984,0.0032000000000000028,0.9984,0.0032000000000000028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-SMOTEENN,LightGBM,0.9967496681862773,0.006500663627445302,0.9967741935483871,0.0064516129032258,0.9807692307692307,0.9798544675187748,0.9364565779125942,0.9813720761996625,0.9807692307692307,0.9843260188087775,0.9057971014492754,1.0,,,,
Sampling-SMOTEENN,CatBoost,0.9984,0.0032000000000000028,0.9984,0.0032000000000000028,0.9903846153846154,0.9895348837209302,0.9441860465116279,0.9908216783216783,0.9903846153846154,0.9886363636363636,0.9166666666666666,0.9995985465089604,,,,
Sampling-SMOTEENN,AdaBoost,0.31361242890507574,0.0029760568755002634,0.43659354838709674,0.0030584728188020062,0.25,0.22321428571428573,0.26785714285714285,0.2222222222222222,0.25,0.25925925925925924,0.5,0.8372656414577627,,,,
Sampling-SMOTEENN,Neural Network,0.9531738714338645,0.007947861043447274,0.9534451612903225,0.007898481788809674,0.6153846153846154,0.6228481033571238,0.4828843478972345,0.741632326007326,0.6153846153846154,0.5416241496598639,0.5489266644873052,0.9014236461834945,,,,
Sampling-SMOTEENN,Logistic Regression,0.9255907820154207,0.010732291461814349,0.9261548387096774,0.010677573334821873,0.6538461538461539,0.6809881941957414,0.5080971439462005,0.7344868868600071,0.6538461538461539,0.5346289831722162,0.5524681268388362,0.8797189725775567,,,,
Ensemble,Voting,0.9893243430093268,0.01107315446149633,0.9902732882750513,0.009118325955717195,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,
Ensemble,Stacking,0.9874634161558454,0.011737571272674208,0.9878636497208346,0.010842377993128812,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,
Ensemble,Weighted_Voting,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,
Tuned,Random Forest,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,1.0,0.0,0.0,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Tuned,XGBoost,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,1.0,0.0,0.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,LightGBM,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,1.0,0.0,0.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,CatBoost,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,1.0,0.0,0.0,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1}"
Tuned,AdaBoost,0.0,0.0,0.0,0.0,0.9711538461538461,,,,,,,0.0,0.9576923076923076,0.0,0.0,"{'learning_rate': 0.5, 'n_estimators': 50}"
Tuned,Neural Network,0.0,0.0,0.0,0.0,0.875,,,,,,,0.0,0.8610314356077068,0.0,0.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (150, 100), 'learning_rate_init': 0.01, 'max_iter': 500}"
Tuned,Logistic Regression,0.0,0.0,0.0,0.0,0.8365384615384616,,,,,,,0.0,0.8176045967130379,0.0,0.0,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
