진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,A59,여,외래,59653 ,93378 ,93364 ,3295569150 ,4864714270 
2023,A59,여,입원,9 ,9 ,19 ,3272690 ,4291550 
2023,A60,남,외래,47941 ,100537 ,100519 ,2174605510 ,3056193580 
2023,A60,남,입원,7 ,8 ,10 ,2894590 ,4156170 
2023,A60,여,외래,93388 ,163658 ,163623 ,4252129470 ,6082012910 
2023,A60,여,입원,50 ,55 ,246 ,43554530 ,56613750 
2023,A63,남,외래,60770 ,110787 ,110725 ,7211228550 ,10388028910 
2023,A63,남,입원,853 ,1000 ,2006 ,479387960 ,631329940 
2023,A63,여,외래,120832 ,199661 ,199579 ,12968735510 ,18885242830 
2023,A63,여,입원,373 ,397 ,743 ,254879850 ,330528820 
2023,A64,남,외래,21881 ,41727 ,41725 ,2382774170 ,3447510410 
2023,A64,남,입원,8 ,8 ,13 ,3884690 ,5355350 
2023,A64,여,외래,15036 ,25222 ,25221 ,1497229250 ,2203845090 
2023,A64,여,입원,16 ,16 ,24 ,4195140 ,5439660 
2023,A65,남,외래,13 ,16 ,15 ,284020 ,407020 
2023,A65,여,외래,17 ,27 ,27 ,853020 ,1200520 
2023,A66,남,외래,144 ,206 ,206 ,5455390 ,8128300 
2023,A66,남,입원,1 ,1 ,5 ,2396540 ,2539690 
2023,A66,여,외래,130 ,183 ,183 ,4624430 ,7315590 
2023,A67,남,외래,18 ,25 ,25 ,469600 ,928900 
2023,A67,여,외래,30 ,32 ,32 ,537140 ,809640 
2023,A68,남,외래,13 ,17 ,17 ,791680 ,1736300 
2023,A68,남,입원,2 ,2 ,23 ,5972810 ,7490780 
2023,A68,여,외래,15 ,29 ,28 ,984500 ,1957100 
2023,A68,여,입원,1 ,1 ,1 ,393040 ,493770 
2023,A69,남,외래,7398 ,11145 ,11130 ,184543920 ,259747350 
2023,A69,남,입원,21 ,23 ,67 ,9573200 ,11779230 
2023,A69,여,외래,9823 ,14406 ,14384 ,247522020 ,351763240 
2023,A69,여,입원,26 ,33 ,144 ,29949620 ,38138140 
2023,A70,남,외래,2 ,3 ,3 ,371960 ,930140 
2023,A70,여,외래,3 ,9 ,9 ,110950 ,287150 
2023,A71,남,외래,5 ,6 ,6 ,125110 ,222710 
2023,A71,여,외래,32 ,35 ,35 ,1114820 ,1571720 
2023,A74,남,외래,946 ,1393 ,1393 ,35721620 ,52540240 
2023,A74,남,입원,3 ,4 ,16 ,5642800 ,7517120 
2023,A74,여,외래,2791 ,3777 ,3776 ,123599280 ,192240700 
2023,A74,여,입원,26 ,34 ,178 ,52069380 ,66263850 
2023,A75,남,외래,2365 ,3926 ,3925 ,125409430 ,230192440 
2023,A75,남,입원,1748 ,1926 ,13167 ,3254254000 ,4319311980 
2023,A75,여,외래,3022 ,5027 ,5021 ,162193840 ,293728450 
2023,A75,여,입원,2736 ,3036 ,22317 ,5027916590 ,6671051590 
2023,A77,남,외래,75 ,127 ,127 ,2337430 ,4103370 
2023,A77,남,입원,20 ,26 ,106 ,36862050 ,49370470 
2023,A77,여,외래,115 ,169 ,169 ,3544630 ,7211650 
2023,A77,여,입원,12 ,12 ,68 ,17561350 ,23140450 
2023,A78,남,외래,53 ,183 ,183 ,4172800 ,11938430 
2023,A78,남,입원,7 ,10 ,79 ,27860860 ,38503260 
2023,A78,여,외래,12 ,29 ,29 ,711480 ,1270080 
2023,A78,여,입원,1 ,3 ,28 ,8533470 ,11674030 
2023,A79,남,외래,86 ,161 ,161 ,3888290 ,6950870 
2023,A79,남,입원,9 ,9 ,50 ,13638800 ,18707230 
2023,A79,여,외래,108 ,194 ,194 ,4247600 ,6472880 
2023,A79,여,입원,12 ,12 ,95 ,26949070 ,35376490 
2023,A80,남,외래,26 ,55 ,55 ,1169680 ,2740280 
2023,A80,여,외래,24 ,151 ,151 ,1493550 ,3008350 
2023,A80,여,입원,1 ,2 ,25 ,8141240 ,12233340 
2023,A81,남,외래,74 ,480 ,478 ,33759050 ,40323950 
2023,A81,남,입원,62 ,242 ,4087 ,902006480 ,1066897950 
2023,A81,여,외래,81 ,437 ,437 ,22882210 ,27251740 
2023,A81,여,입원,75 ,336 ,6183 ,885049840 ,1049516930 
2023,A82,남,외래,4 ,6 ,6 ,175860 ,398960 
2023,A82,여,외래,7 ,14 ,14 ,394960 ,814160 
2023,A83,남,외래,7 ,61 ,60 ,3538130 ,5407170 
2023,A83,남,입원,10 ,25 ,617 ,319921420 ,402484810 
2023,A83,여,외래,4 ,5 ,5 ,112190 ,302490 
2023,A83,여,입원,4 ,28 ,506 ,124897000 ,162701830 
2023,A84,남,외래,1 ,2 ,2 ,48840 ,97140 
2023,A84,남,입원,2 ,2 ,16 ,8620660 ,11996790 
2023,A84,여,외래,1 ,1 ,1 ,2990 ,23190 
2023,A84,여,입원,1 ,1 ,10 ,3699560 ,5420270 
2023,A85,남,외래,34 ,66 ,66 ,2089250 ,4439800 
2023,A85,남,입원,14 ,25 ,329 ,103288190 ,136578580 
2023,A85,여,외래,18 ,70 ,70 ,3194350 ,6847820 
2023,A85,여,입원,7 ,17 ,254 ,100565570 ,128284830 
2023,A86,남,외래,231 ,781 ,779 ,23367450 ,51136540 
2023,A86,남,입원,111 ,157 ,2011 ,853075940 ,1131014080 
2023,A86,여,외래,144 ,597 ,595 ,12865390 ,29144270 
2023,A86,여,입원,89 ,182 ,2951 ,789364700 ,1029118780 
2023,A87,남,외래,1176 ,2158 ,2154 ,59665400 ,99171820 
2023,A87,남,입원,555 ,626 ,4271 ,1371457590 ,1824473810 
2023,A87,여,외래,1515 ,2889 ,2886 ,67819960 ,112418030 
2023,A87,여,입원,519 ,578 ,3847 ,1179770260 ,1584187730 
2023,A88,남,외래,819 ,1160 ,1160 ,17608850 ,23136680 
2023,A88,남,입원,13 ,14 ,60 ,16980130 ,20084800 
2023,A88,여,외래,1216 ,1689 ,1689 ,28982710 ,38724210 
2023,A88,여,입원,4 ,4 ,17 ,2999240 ,3378940 
2023,A89,남,외래,2 ,3 ,3 ,240840 ,633340 
