년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비,진료과,high_cost,pred_bin,pred_cost
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,I10,19397.0,794.0,739.0,1479.0,13795,2158.0,432.0,1222231.0,내과,0,1,1670186.377274899
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
2021,부산,외래,M48,17974.0,360.0,616.0,934.0,14226,1641.0,197.0,3357376.0,정형외과,1,2,11635774.461026616
